Sample	Group
Disease1	Disease
Disease10	Disease
Disease12	Disease
Disease13	Disease
Disease14	Disease
Disease15	Disease
Disease16	Disease
Disease17	Disease
Disease18	Disease
Disease19	Disease
Disease2	Disease
Disease22	Disease
Disease23	Disease
Disease24	Disease
Disease25	Disease
Disease26	Disease
Disease28	Disease
Disease29	Disease
Disease3	Disease
Disease30	Disease
Disease31	Disease
Disease32	Disease
Disease33	Disease
Disease34	Disease
Disease35	Disease
Disease36	Disease
Disease37	Disease
Disease38	Disease
Disease39	Disease
Disease4	Disease
Disease40	Disease
Disease41	Disease
Disease42	Disease
Disease43	Disease
Disease44	Disease
Disease5	Disease
Disease6	Disease
Disease7	Disease
Disease8	Disease
Disease9	Disease
Control01	Control
Control02	Control
Control03	Control
Control04	Control
Control05	Control
Control06	Control
Control07	Control
Control08	Control
Control09	Control
Control11	Control
Control12	Control
Control13	Control
Control14	Control
Control15	Control
Control16	Control
Control17	Control
Control19	Control
Control20	Control
Control21	Control
Control22	Control
Control23	Control
Control24	Control
Control25	Control
Control26	Control
